time,.data
2020/04/03/19:47:28.885201,"(-10.2220458984375, -0.40582275390625, -0.623687744140625)"
2020/04/03/19:47:28.990878,"(-10.332183837890625, -0.433349609375, -0.3447723388671875)"
2020/04/03/19:47:29.096951,"(-10.619476318359375, -0.4932098388671875, -0.4369354248046875)"
2020/04/03/19:47:29.198992,"(-10.207672119140625, -0.5410919189453125, -0.3878631591796875)"
2020/04/03/19:47:29.303391,"(-10.366897583007812, -0.3519439697265625, -0.5267181396484375)"
2020/04/03/19:47:29.407553,"(-10.059234619140625, -0.4405364990234375, -0.4465179443359375)"
2020/04/03/19:47:29.511584,"(-10.248382568359375, -0.559051513671875, -0.49560546875)"
2020/04/03/19:47:29.617960,"(-10.1226806640625, -0.502777099609375, -0.3292083740234375)"
2020/04/03/19:47:29.719696,"(-10.055648803710938, -0.5626373291015625, -0.357940673828125)"
2020/04/03/19:47:29.826669,"(-10.353729248046875, -0.5686187744140625, -0.196319580078125)"
2020/04/03/19:47:29.930770,"(-10.019729614257812, -0.5614471435546875, -0.4417266845703125)"
2020/04/03/19:47:30.033943,"(-10.098739624023438, -0.5734100341796875, -0.323211669921875)"
2020/04/03/19:47:30.138575,"(-10.332183837890625, -0.5351104736328125, -0.481231689453125)"
2020/04/03/19:47:30.243398,"(-9.96826171875, -0.4405364990234375, -0.4094085693359375)"
2020/04/03/19:47:30.346891,"(-10.364501953125, -0.5674285888671875, -0.507568359375)"
2020/04/03/19:47:30.453523,"(-10.283096313476562, -0.4764404296875, -0.259765625)"
2020/04/03/19:47:30.555310,"(-10.232818603515625, -0.36871337890625, -0.243011474609375)"
2020/04/03/19:47:30.660570,"(-10.13824462890625, -0.729034423828125, -0.3507537841796875)"
2020/04/03/19:47:30.767055,"(-10.02093505859375, -0.559051513671875, -0.259765625)"
2020/04/03/19:47:30.869461,"(-9.877273559570312, -0.56622314453125, -0.2777252197265625)"
2020/04/03/19:47:30.972986,"(-10.07000732421875, -0.5686187744140625, -0.401031494140625)"
2020/04/03/19:47:31.079963,"(-9.77911376953125, -0.4991912841796875, -0.407012939453125)"
2020/04/03/19:47:31.182871,"(-10.05804443359375, -0.6524200439453125, -0.264556884765625)"
2020/04/03/19:47:31.287974,"(-10.135848999023438, -0.6631927490234375, -0.248992919921875)"
2020/04/03/19:47:31.390339,"(-10.024520874023438, -0.5147552490234375, -0.196319580078125)"
2020/04/03/19:47:31.494951,"(-10.2340087890625, -0.6584014892578125, -0.2166748046875)"
2020/04/03/19:47:31.599844,"(-9.985015869140625, -0.5530548095703125, -0.301666259765625)"
2020/04/03/19:47:31.703450,"(-10.0736083984375, -0.53271484375, -0.2669525146484375)"
2020/04/03/19:47:31.807250,"(-10.13824462890625, -0.49200439453125, -0.3627166748046875)"
2020/04/03/19:47:31.908542,"(-9.920379638671875, -0.484832763671875, -0.3818817138671875)"
2020/04/03/19:47:32.015315,"(-10.0113525390625, -0.56982421875, -0.354339599609375)"
2020/04/03/19:47:32.116239,"(-9.985015869140625, -0.5530548095703125, -0.307647705078125)"
2020/04/03/19:47:32.221936,"(-9.96466064453125, -0.444122314453125, -0.348358154296875)"
2020/04/03/19:47:32.324803,"(-10.189727783203125, -0.4022216796875, -0.5015869140625)"
2020/04/03/19:47:32.429715,"(-10.283096313476562, -0.3399810791015625, -0.48004150390625)"
2020/04/03/19:47:32.537697,"(-10.151412963867188, -0.3292083740234375, -0.481231689453125)"
2020/04/03/19:47:32.639377,"(-10.514129638671875, -0.4273681640625, -0.544677734375)"
2020/04/03/19:47:32.742276,"(-10.083175659179688, -0.3782806396484375, -0.4561004638671875)"
2020/04/03/19:47:32.847817,"(-10.177749633789062, -0.6057281494140625, -0.3782806396484375)"
2020/04/03/19:47:32.953708,"(-9.77911376953125, -0.4632720947265625, -0.375885009765625)"
2020/04/03/19:47:33.055281,"(-10.12628173828125, -0.5087738037109375, -0.217864990234375)"
2020/04/03/19:47:33.160439,"(-10.272323608398438, -0.608123779296875, -0.3615264892578125)"
2020/04/03/19:47:33.264378,"(-9.992202758789062, -0.3399810791015625, -0.2573699951171875)"
2020/04/03/19:47:33.368674,"(-10.31182861328125, -0.4668731689453125, -0.4788360595703125)"
2020/04/03/19:47:33.475068,"(-10.034103393554688, -0.5015869140625, -0.38067626953125)"
2020/04/03/19:47:33.577033,"(-10.1107177734375, -0.416595458984375, -0.4261627197265625)"
2020/04/03/19:47:33.683139,"(-10.199295043945312, -0.4561004638671875, -0.40582275390625)"
2020/04/03/19:47:33.786581,"(-10.396820068359375, -0.444122314453125, -0.2346343994140625)"
2020/04/03/19:47:33.889571,"(-10.273513793945312, -0.36871337890625, -0.323211669921875)"
2020/04/03/19:47:33.994679,"(-10.260345458984375, -0.4201812744140625, -0.4405364990234375)"
2020/04/03/19:47:34.099554,"(-10.2711181640625, -0.41180419921875, -0.507568359375)"
2020/04/03/19:47:34.203270,"(-10.131057739257812, -0.3471527099609375, -0.5099639892578125)"
2020/04/03/19:47:34.310485,"(-10.194503784179688, -0.3256072998046875, -0.487213134765625)"
2020/04/03/19:47:34.412625,"(-10.445907592773438, -0.3208160400390625, -0.53271484375)"
2020/04/03/19:47:34.517156,"(-10.219650268554688, -0.301666259765625, -0.42138671875)"
2020/04/03/19:47:34.621689,"(-10.384857177734375, -0.4980010986328125, -0.4297637939453125)"
2020/04/03/19:47:34.725917,"(-10.34295654296875, -0.4788360595703125, -0.2765350341796875)"
2020/04/03/19:47:34.830260,"(-9.92755126953125, -0.4261627197265625, -0.36871337890625)"
2020/04/03/19:47:34.935151,"(-9.787490844726562, -0.629669189453125, -0.2825164794921875)"
2020/04/03/19:47:35.039672,"(-9.706100463867188, -0.586578369140625, -0.4297637939453125)"
2020/04/03/19:47:35.143813,"(-9.85333251953125, -0.49560546875, -0.3280029296875)"
2020/04/03/19:47:35.248260,"(-9.88446044921875, -0.4417266845703125, -0.3447723388671875)"
2020/04/03/19:47:35.351702,"(-10.275909423828125, -0.4740447998046875, -0.1975250244140625)"
2020/04/03/19:47:35.460069,"(-10.1849365234375, -0.527923583984375, -0.2501983642578125)"
2020/04/03/19:47:35.561521,"(-10.19091796875, -0.5458831787109375, -0.2166748046875)"
2020/04/03/19:47:35.665317,"(-10.062835693359375, -0.42376708984375, -0.3890533447265625)"
2020/04/03/19:47:35.769845,"(-10.247177124023438, -0.487213134765625, -0.3615264892578125)"
2020/04/03/19:47:35.873606,"(-10.099945068359375, -0.4944000244140625, -0.401031494140625)"
2020/04/03/19:47:35.980488,"(-9.950302124023438, -0.3088531494140625, -0.38067626953125)"
2020/04/03/19:47:36.082617,"(-10.41357421875, -0.44891357421875, -0.4728546142578125)"
2020/04/03/19:47:36.187491,"(-10.117889404296875, -0.41778564453125, -0.527923583984375)"
2020/04/03/19:47:36.291645,"(-10.077194213867188, -0.3196258544921875, -0.422576904296875)"
2020/04/03/19:47:36.393534,"(-10.07000732421875, -0.4716644287109375, -0.4034271240234375)"
2020/04/03/19:47:36.499057,"(-10.1478271484375, -0.38067626953125, -0.4201812744140625)"
2020/04/03/19:47:36.601068,"(-10.046066284179688, -0.4309539794921875, -0.4022216796875)"
2020/04/03/19:47:36.705040,"(-10.137054443359375, -0.4477081298828125, -0.3459625244140625)"
2020/04/03/19:47:36.809072,"(-10.219650268554688, -0.4561004638671875, -0.3722991943359375)"
2020/04/03/19:47:36.909847,"(-9.975448608398438, -0.44293212890625, -0.286102294921875)"
2020/04/03/19:47:37.012655,"(-10.103530883789062, -0.4369354248046875, -0.2873077392578125)"
2020/04/03/19:47:37.117036,"(-10.00177001953125, -0.475250244140625, -0.2454071044921875)"
2020/04/03/19:47:37.221618,"(-9.994598388671875, -0.4716644287109375, -0.2669525146484375)"
2020/04/03/19:47:37.325234,"(-9.90960693359375, -0.487213134765625, -0.259765625)"
