time,.data
2020/04/03/19:47:29.658531,"(37.6953125, -18.3563232421875, 16.8182373046875)"
2020/04/03/19:47:29.758147,"(37.78228759765625, -18.34259033203125, 15.54412841796875)"
2020/04/03/19:47:29.862230,"(37.9608154296875, -18.53179931640625, 17.12188720703125)"
2020/04/03/19:47:29.962883,"(38.00811767578125, -18.8690185546875, 16.48406982421875)"
2020/04/03/19:47:30.061921,"(37.20550537109375, -17.98858642578125, 15.5731201171875)"
2020/04/03/19:47:30.161832,"(37.63427734375, -18.87969970703125, 17.7734375)"
2020/04/03/19:47:30.264746,"(38.35601806640625, -18.34869384765625, 15.51513671875)"
2020/04/03/19:47:30.362906,"(38.00506591796875, -18.524169921875, 16.485595703125)"
2020/04/03/19:47:30.462596,"(37.4725341796875, -18.1640625, 15.87677001953125)"
2020/04/03/19:47:30.563963,"(37.7349853515625, -18.0023193359375, 16.18194580078125)"
2020/04/03/19:47:30.668309,"(37.6983642578125, -18.6920166015625, 16.81671142578125)"
2020/04/03/19:47:30.768019,"(38.04473876953125, -18.17169189453125, 15.8477783203125)"
2020/04/03/19:47:30.866442,"(38.00506591796875, -18.524169921875, 16.485595703125)"
2020/04/03/19:47:30.967753,"(37.71820068359375, -18.51959228515625, 16.49932861328125)"
2020/04/03/19:47:31.070810,"(38.08441162109375, -17.828369140625, 15.21148681640625)"
2020/04/03/19:47:31.169682,"(37.71820068359375, -18.51959228515625, 16.49932861328125)"
2020/04/03/19:47:31.268819,"(38.26751708984375, -18.3624267578125, 16.78924560546875)"
2020/04/03/19:47:31.371805,"(38.6016845703125, -18.695068359375, 16.1376953125)"
2020/04/03/19:47:31.472019,"(38.311767578125, -18.3563232421875, 16.15142822265625)"
2020/04/03/19:47:31.571929,"(38.53759765625, -18.88427734375, 17.0928955078125)"
2020/04/03/19:47:31.672186,"(38.3148193359375, -18.6920166015625, 16.15142822265625)"
2020/04/03/19:47:31.773810,"(37.738037109375, -18.34869384765625, 16.180419921875)"
2020/04/03/19:47:31.873731,"(38.37890625, -18.51348876953125, 15.19622802734375)"
2020/04/03/19:47:31.974680,"(38.2965087890625, -18.87359619140625, 16.4703369140625)"
2020/04/03/19:47:32.074097,"(38.26751708984375, -18.3624267578125, 16.78924560546875)"
2020/04/03/19:47:32.178386,"(38.6016845703125, -18.695068359375, 16.1376953125)"
2020/04/03/19:47:32.278896,"(37.9852294921875, -18.695068359375, 16.802978515625)"
2020/04/03/19:47:32.376733,"(37.921142578125, -18.88427734375, 17.7581787109375)"
2020/04/03/19:47:32.477609,"(38.24310302734375, -18.1884765625, 17.108154296875)"
2020/04/03/19:47:32.580632,"(38.29193115234375, -18.52874755859375, 16.4703369140625)"
2020/04/03/19:47:32.678679,"(38.29193115234375, -18.52874755859375, 16.4703369140625)"
2020/04/03/19:47:32.780737,"(38.2965087890625, -18.87359619140625, 16.4703369140625)"
2020/04/03/19:47:32.880423,"(38.26751708984375, -18.3624267578125, 16.78924560546875)"
2020/04/03/19:47:32.982184,"(38.0126953125, -19.2047119140625, 16.4825439453125)"
2020/04/03/19:47:33.081802,"(38.24310302734375, -18.1884765625, 17.108154296875)"
2020/04/03/19:47:33.182282,"(38.87176513671875, -19.21539306640625, 16.4398193359375)"
2020/04/03/19:47:33.283153,"(37.3870849609375, -18.524169921875, 17.15087890625)"
2020/04/03/19:47:33.385670,"(38.45062255859375, -18.89801025390625, 18.36700439453125)"
2020/04/03/19:47:33.485886,"(38.26751708984375, -18.3624267578125, 16.78924560546875)"
2020/04/03/19:47:33.585147,"(38.629150390625, -19.2047119140625, 15.8172607421875)"
2020/04/03/19:47:33.685941,"(38.51318359375, -18.7103271484375, 17.41180419921875)"
2020/04/03/19:47:33.789473,"(37.93792724609375, -18.36700439453125, 17.4407958984375)"
2020/04/03/19:47:33.886364,"(38.09661865234375, -18.85528564453125, 15.2099609375)"
2020/04/03/19:47:33.986963,"(38.3148193359375, -18.6920166015625, 16.15142822265625)"
2020/04/03/19:47:34.088263,"(37.16888427734375, -18.6767578125, 16.20941162109375)"
2020/04/03/19:47:34.190682,"(38.22784423828125, -18.70574951171875, 17.425537109375)"
2020/04/03/19:47:34.290340,"(37.65869140625, -19.04449462890625, 17.45452880859375)"
2020/04/03/19:47:34.390050,"(38.1195068359375, -19.0185546875, 14.89105224609375)"
2020/04/03/19:47:34.493340,"(38.41094970703125, -19.36798095703125, 14.87579345703125)"
2020/04/03/19:47:34.597582,"(38.56201171875, -19.04754638671875, 16.7724609375)"
2020/04/03/19:47:34.694468,"(38.3148193359375, -18.6920166015625, 16.15142822265625)"
2020/04/03/19:47:34.794026,"(37.19329833984375, -18.8507080078125, 15.8905029296875)"
2020/04/03/19:47:34.890441,"(38.87176513671875, -19.21539306640625, 16.4398193359375)"
2020/04/03/19:47:34.985589,"(37.67547607421875, -18.52874755859375, 17.1356201171875)"
2020/04/03/19:47:35.085342,"(37.96539306640625, -18.87664794921875, 17.12188720703125)"
2020/04/03/19:47:35.186264,"(37.41607666015625, -19.0338134765625, 16.8304443359375)"
2020/04/03/19:47:35.289481,"(37.39166259765625, -18.8690185546875, 17.15087890625)"
2020/04/03/19:47:35.388313,"(38.36669921875, -19.3756103515625, 15.51361083984375)"
2020/04/03/19:47:35.489929,"(38.00811767578125, -18.8690185546875, 16.48406982421875)"
2020/04/03/19:47:35.589388,"(37.7655029296875, -18.85833740234375, 15.86151123046875)"
2020/04/03/19:47:35.698035,"(37.45574951171875, -18.68133544921875, 16.1956787109375)"
2020/04/03/19:47:35.790667,"(37.6983642578125, -18.6920166015625, 16.81671142578125)"
2020/04/03/19:47:35.891850,"(37.48016357421875, -18.85528564453125, 15.87677001953125)"
2020/04/03/19:47:35.991816,"(37.4359130859375, -18.86138916015625, 16.5130615234375)"
2020/04/03/19:47:36.093380,"(37.78228759765625, -18.34259033203125, 15.54412841796875)"
